period,flow,metric,category,value,unit,source_url
2025-12,outbound,count,total,13567,thousand_transactions,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-01,outbound,count,total,12759,thousand_transactions,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-02,outbound,count,total,11124,thousand_transactions,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-03,outbound,count,total,14089,thousand_transactions,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-04,outbound,count,total,14015,thousand_transactions,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-05,outbound,count,total,13292,thousand_transactions,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2025-12,outbound,value,total,25930,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-01,outbound,value,total,23561,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-02,outbound,value,total,20943,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-03,outbound,value,total,26057,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-04,outbound,value,total,25377,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-05,outbound,value,total,23022,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2025-12,outbound,value,credit_POS,11801,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-01,outbound,value,credit_POS,10078,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-02,outbound,value,credit_POS,8829,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-03,outbound,value,credit_POS,11554,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-04,outbound,value,credit_POS,12462,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-05,outbound,value,credit_POS,10206,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2025-12,outbound,value,credit_online,7520,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-01,outbound,value,credit_online,7128,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
2026-02,outbound,value,credit_online,6433,million_THB,https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
