기준연월,기타공항,기타항구,김포공항,김해공항,부산항구,인천항구,인천공항,제주공항,제주항구,출처
2023-08-31,11546,22433,90226,74986,39553,2772,776821,69977,819,한국관광공사_방한 외래관광객 교통수단별 월별 집계
2023-09-30,12671,24009,83024,78280,37047,7673,782249,65651,7430,한국관광공사_방한 외래관광객 교통수단별 월별 집계
2023-10-31,12173,34325,84280,89869,59810,10647,863570,59474,15751,한국관광공사_방한 외래관광객 교통수단별 월별 집계
2023-11-30,11223,38098,85370,83678,41177,9739,781997,51110,12598,한국관광공사_방한 외래관광객 교통수단별 월별 집계
2023-12-31,10910,32403,76361,69762,11720,9466,753080,56466,16457,한국관광공사_방한 외래관광객 교통수단별 월별 집계
2024-01-31,9899,56953,63200,56129,10525,13122,593027,66680,11346,한국관광공사_방한 외래관광객 교통수단별 월별 집계
2024-02-29,13666,50964,69827,69241,15112,8781,720626,75205,6822,한국관광공사_방한 외래관광객 교통수단별 월별 집계
2024-03-31,17478,94118,92976,100683,47957,38704,991406,88350,20076,한국관광공사_방한 외래관광객 교통수단별 월별 집계
2024-04-30,14615,112211,88530,93696,56784,23932,959406,86526,27097,한국관광공사_방한 외래관광객 교통수단별 월별 집계
2024-05-31,14322,109077,86498,98605,43642,22453,923546,96594,23726,한국관광공사_방한 외래관광객 교통수단별 월별 집계
2024-06-30,17435,92428,89714,101252,43684,8235,935441,101509,27576,한국관광공사_방한 외래관광객 교통수단별 월별 집계
2024-07-31,19169,72165,92331,102511,24425,13118,931295,121334,32151,한국관광공사_방한 외래관광객 교통수단별 월별 집계
