기준연월,남성,승무원,여성,출처,센서주의
2023-08-31,417005,63719,608409,한국관광공사_방한 외래관광객 성별 월별 집계,승무원은 성별 미분류
2023-09-30,412342,65711,619981,한국관광공사_방한 외래관광객 성별 월별 집계,승무원은 성별 미분류
2023-10-31,461215,88430,680254,한국관광공사_방한 외래관광객 성별 월별 집계,승무원은 성별 미분류
2023-11-30,410541,78953,625496,한국관광공사_방한 외래관광객 성별 월별 집계,승무원은 성별 미분류
2023-12-31,395338,65405,575882,한국관광공사_방한 외래관광객 성별 월별 집계,승무원은 성별 미분류
2024-01-31,342951,71265,466665,한국관광공사_방한 외래관광객 성별 월별 집계,승무원은 성별 미분류
2024-02-29,403172,66974,560098,한국관광공사_방한 외래관광객 성별 월별 집계,승무원은 성별 미분류
2024-03-31,534431,98681,858636,한국관광공사_방한 외래관광객 성별 월별 집계,승무원은 성별 미분류
2024-04-30,536387,105039,821371,한국관광공사_방한 외래관광객 성별 월별 집계,승무원은 성별 미분류
2024-05-31,512578,106209,799676,한국관광공사_방한 외래관광객 성별 월별 집계,승무원은 성별 미분류
2024-06-30,502451,103046,811777,한국관광공사_방한 외래관광객 성별 월별 집계,승무원은 성별 미분류
2024-07-31,502854,97573,808072,한국관광공사_방한 외래관광객 성별 월별 집계,승무원은 성별 미분류
